[Train] Starting training for 200 epochs
[Train] Train samples: 90303, Test samples: 10000
[Epoch: 21/200, iter: 59262], Lr: 0.000200, Train Noise Loss: 0.019407, Test Force MAE: 0.0463, Test Error: [0.0662 0.0783 0.0473 0.0315 0.0311 0.0233], Test Error(span): [0.397 0.47  0.567 0.013 0.012 0.002], Time: 233.6min
[Epoch: 22/200, iter: 62084], Lr: 0.000200, Train Noise Loss: 0.020235, Test Force MAE: 0.0458, Test Error: [0.0655 0.0778 0.0495 0.031  0.0275 0.0234], Test Error(span): [0.393 0.467 0.594 0.012 0.011 0.002], Time: 244.7min ******
[Epoch: 23/200, iter: 64906], Lr: 0.000200, Train Noise Loss: 0.019382, Test Force MAE: 0.0544, Test Error: [0.0827 0.0789 0.055  0.0329 0.0525 0.0245], Test Error(span): [0.496 0.474 0.66  0.013 0.021 0.002], Time: 255.9min
[Epoch: 24/200, iter: 67728], Lr: 0.000200, Train Noise Loss: 0.019631, Test Force MAE: 0.0444, Test Error: [0.0646 0.0764 0.0457 0.031  0.0281 0.0209], Test Error(span): [0.388 0.459 0.548 0.012 0.011 0.002], Time: 267.1min ******
[Epoch: 25/200, iter: 70550], Lr: 0.000200, Train Noise Loss: 0.019742, Test Force MAE: 0.0468, Test Error: [0.0652 0.0887 0.0432 0.0359 0.0266 0.0215], Test Error(span): [0.391 0.532 0.518 0.014 0.011 0.002], Time: 278.2min
[Epoch: 26/200, iter: 73372], Lr: 0.000200, Train Noise Loss: 0.019084, Test Force MAE: 0.0447, Test Error: [0.0654 0.0768 0.0437 0.0311 0.0289 0.0222], Test Error(span): [0.392 0.461 0.525 0.012 0.012 0.002], Time: 289.4min
[Epoch: 27/200, iter: 76194], Lr: 0.000200, Train Noise Loss: 0.019358, Test Force MAE: 0.0442, Test Error: [0.0648 0.0771 0.043  0.031  0.0275 0.0219], Test Error(span): [0.389 0.463 0.517 0.012 0.011 0.002], Time: 300.5min ******
[Epoch: 28/200, iter: 79016], Lr: 0.000200, Train Noise Loss: 0.018754, Test Force MAE: 0.0446, Test Error: [0.0639 0.0811 0.0425 0.0328 0.0269 0.0202], Test Error(span): [0.383 0.487 0.51  0.013 0.011 0.002], Time: 311.7min
[Epoch: 29/200, iter: 81838], Lr: 0.000200, Train Noise Loss: 0.019704, Test Force MAE: 0.0436, Test Error: [0.0647 0.0754 0.0424 0.0293 0.027  0.0231], Test Error(span): [0.388 0.452 0.509 0.012 0.011 0.002], Time: 322.9min ******
[Epoch: 30/200, iter: 84660], Lr: 0.000200, Train Noise Loss: 0.018707, Test Force MAE: 0.0450, Test Error: [0.0659 0.0777 0.048  0.031  0.0273 0.0203], Test Error(span): [0.395 0.466 0.577 0.012 0.011 0.002], Time: 334.0min
